"Date","Price","Open","High","Low","Vol.","Change %"
"06/22/2016","7,156.49","7,250.92","7,250.92","7,153.08","106.82M","-1.30%"
"06/21/2016","7,250.92","7,203.64","7,346.17","7,203.64","132.89M","0.66%"
"06/20/2016","7,203.64","7,335.48","7,335.48","7,166.39","136.82M","-1.83%"
"06/19/2016","7,337.97","7,423.46","7,453.58","7,337.97","105.57M","-1.11%"
"06/16/2016","7,420.39","7,415.11","7,433.71","7,386.68","117.06M","0.08%"
"06/15/2016","7,414.81","7,570.05","7,582.97","7,406.27","118.96M","-2.05%"
"06/14/2016","7,570.05","7,645.21","7,645.21","7,570.05","118.39M","-0.98%"
"06/13/2016","7,645.21","7,653.09","7,697.43","7,643.76","187.35M","-0.07%"
"06/12/2016","7,650.62","7,750.62","7,750.62","7,650.62","151.78M","-1.36%"
"06/09/2016","7,756.30","7,780.13","7,780.13","7,739.24","91.00M","-0.31%"
"06/08/2016","7,780.13","7,717.35","7,815.89","7,717.35","179.10M","0.81%"
"06/07/2016","7,717.35","7,636.13","7,717.35","7,636.13","143.76M","1.02%"
"06/06/2016","7,639.59","7,563.50","7,650.81","7,559.02","82.68M","1.01%"
"06/05/2016","7,563.50","7,617.88","7,631.82","7,563.50","168.56M","-0.71%"
"06/02/2016","7,617.88","7,577.92","7,632.77","7,577.92","139.43M","0.60%"
"06/01/2016","7,572.39","7,483.65","7,573.18","7,483.65","136.49M","1.19%"
"05/31/2016","7,483.65","7,452.88","7,498.20","7,450.02","195.67M","0.41%"
"05/30/2016","7,452.88","7,486.13","7,497.71","7,452.88","105.47M","-0.44%"
"05/29/2016","7,486.13","7,528.82","7,529.86","7,485.34","66.12M","-0.60%"
"05/26/2016","7,531.15","7,543.77","7,555.17","7,518.10","167.08M","-0.16%"
"05/25/2016","7,543.43","7,500.05","7,562.57","7,500.05","151.94M","0.61%"
"05/24/2016","7,497.33","7,422.28","7,497.33","7,422.28","149.70M","1.08%"
"05/23/2016","7,417.08","7,494.76","7,494.76","7,414.29","112.15M","-1.04%"
"05/22/2016","7,494.76","7,501.47","7,552.44","7,494.76","105.25M","-0.06%"
"05/19/2016","7,499.49","7,594.82","7,594.82","7,477.00","176.57M","-1.80%"
"05/18/2016","7,637.04","7,593.48","7,670.21","7,593.48","190.70M","1.15%"
"05/17/2016","7,549.97","7,409.27","7,549.97","7,409.27","274.64M","1.90%"
"05/16/2016","7,409.27","7,370.12","7,422.88","7,326.95","112.29M","0.49%"
"05/15/2016","7,373.00","7,515.69","7,516.77","7,373.00","92.50M","-1.96%"
"05/12/2016","7,520.52","7,503.11","7,549.58","7,491.56","154.07M","0.23%"
"05/11/2016","7,503.40","7,621.91","7,621.91","7,502.14","139.07M","-1.55%"
"05/10/2016","7,621.91","7,646.02","7,684.92","7,620.98","122.84M","-0.32%"
"05/09/2016","7,646.02","7,575.64","7,676.45","7,575.64","125.27M","0.98%"
"05/08/2016","7,571.70","7,546.10","7,571.70","7,504.54","128.12M","0.32%"
"05/05/2016","7,547.49","7,449.91","7,555.12","7,448.86","130.42M","1.41%"
"05/04/2016","7,442.44","7,529.38","7,529.38","7,429.64","175.49M","-1.18%"
"05/03/2016","7,531.59","7,774.91","7,791.31","7,531.59","199.22M","-3.11%"
"04/28/2016","7,773.23","7,761.13","7,773.23","7,702.22","135.52M","-1.15%"
"04/27/2016","7,863.58","7,943.69","7,993.98","7,863.58","268.38M","-0.29%"
"04/26/2016","7,886.82","7,718.53","7,889.74","7,718.53","166.86M","1.85%"
"04/24/2016","7,743.41","7,780.69","7,781.03","7,705.13","127.10M","-0.49%"
"04/21/2016","7,781.45","7,811.27","7,849.91","7,781.45","283.76M","-0.24%"
"04/20/2016","7,799.86","7,859.90","7,918.88","7,799.86","324.24M","-0.82%"
"04/19/2016","7,864.03","7,673.09","7,864.21","7,673.08","395.21M","2.63%"
